Rares,Website,Email,,Street Address,State,Located on Site Map,How Many Combos selling per week?,Listed On Website,Display,Linked from thier website,Updated Pricing & Bundle (2 & 1),Date Contacted,Notes,Facebook We Like,Updated Photos,Facebook They Like
WEST VIRGINIA,,,,,,,,,,,,,,,,
Mountain Man Wine & Brew Supply,http://mountainmanbrewsupply.com/,contact@mountainmanbrewsupply.com,540-771-5650,"801 S. Washington street, Berkeley, West Virginia 25411",WV,Yes,,,,,,,,,,
,,,,,,,,,,,,,,,,
OREGON,,,,,,,,,,,,,,,,
F.H. Steinbarts,https://www.fhsteinbart.com/products/index.php,info@fhsteinbart.com,503-232-8793,"234 Southeast 12th Ave. Portland, Oregon",OR,Yes,,https://www.fhsteinbart.com/products/index.php,set up properly,No,36.95,6/5/13,"August 27th - doing really well, just placed third order with brewcraft this week",No Facebook Page,No photos,
Above the rest homebrewing,http://www.abovetheresthomebrewing.net/,Mail@AboveTheRestHomeBrewing.com,503-968-2736,"11945 South West Pacific Hwy. Tigard, Oregon 97223",OR,Yes,,No,,No,,6/5/13,August 27th - other location is doing well - they are ordering from brewcraft (gettting rid of their bottle trees now),Yes,,
Bridgeview Beer and Wine Supply,www.bridgeviewbeerandwine.com,mail@bridgeviewbeerandwine.com,1-888-650-8342,"622 Main St.  Oregon City, OR 97045",OR,Yes,,No,,No,,6/5/13,Didn't even ring,Yes,,
Corvallis Brewing Supply,http://www.lickspigot.com/,joel@lickspigot.com,541-758-1674,"119 SW 4th St.  Corvallis, OR 97333",OR,Yes,,No,Set up properly,No,,6/5/13,"August 27th - haven't sold a single one yet, just not moving them",Yes,website under construction,
Falling Sky Brewing (Formerly Valley Vintner & Brewer),www.brewabeer.com,ordering@brewabeer.com,(541) 484-3322,"30 East 13th Ave.
Eugene, OR 97401",OR,Yes,,http://www.brewabeer.com/catalogsearch/result/?q=FastRack,,No,,6/5/13,Aug. 27th - no answer,Yes,,
Black Bird Shopping Centre,www.blackbirdshoppingcenter.com,joyerickson@blackbirdshoppingcenter.com,541-779-5431,"1810 W. Main Street
Medford, Oregon 97501",OR,Yes,,No,Properly on display,,,,"Aug. 27th - Just recieved shipment a few weeks ago, thinks they will do well. emailed antoniodiaz1984@yahoo.com new photos to put up",No Facebook Page,sent new photos,
The Hoppy Brewer,http://www.oregonshoppyplace.com/,thehoppybrewer@gmail.com,(503) 328-8474,328 N Main Ave. Gresham Oregon 97030,OR,Yes,,,,,,,Haven't actually ordred yet! ordering from brewcraft asap!,Yes,,
The Homebrew Exchange,http://www.homebrewexchange.net/,info@homebrewexchange.net,503-286-0343,"1907 N Kilpatrick St, Portland, OR 97217",OR,Yes,,,,,,,Don't call until sept.,Yes,,
Hondos Brew & Cork,http://hondosbrewncork.qwestoffice.net/?page_id=28,info@hondosbrew.net,503-325-2234,"2703 Marine Dr  Astoria, OR 97103",OR,Yes,,,,,,,Don't call until sept.,Yes,,
Bier One,http://www.bier-one.com/,cheers@bier-one.com,541-265-4630 ,"424 SW Coast Hwy, Newport Deco District, Newport, Oregon 97365",OR,Yes,,,,,,,,,,
The Brew Shop,http://thebrewshopbend.com/,tom@homesuds.com,1-541-323-2318,"1203 NE Third Street, Bend, Oregon 97701",OR,Yes,,,,,,,,,,
Portland U-Brew & Pub,www.portlandubrewandpub.com,pdxubrew@gmail.com,503-943-2727," 6237 SE Milwaukie Ave, Portland, Oregon, 97202",OR,Yes,,,,,,,,,,
Harvest Store,,harveststore@gmail.com,541-679-4524,"Â Â 501 NW Douglas Blvd, Winston, Oregon 97496",OR,Yes,,,,,,,,,,
Let's Brew,letsbrew.net,Kim@Letsbrew.net,(503) 256-0205,"8235 SE Stark St.  Portland, Oregon 97216",OR,Yes,,,,,,,,,,
Redmond Homebrewing Supply,,Jesse@redmondcraftbrewing.com,1 541-390-7686,"336 NE Hemlock Ave #10, Redmond, Oregon 97756",OR,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
SOUTH DAKOTA,,,,,,,,,,,,,,,,
Steins and Vines,http://steins-vines.com/,steinsandvines@midconetwork.com,605 274-7002,"2307 W Madison St 
Sioux Falls, SD 57104",SD,Yes,,,,,,,August 27th - no answer,Yes,,
Hardware Hanks,http://www.hardwarehank.com/,hardwarehank1@qwestoffice.net,605-343-5150,770 Mt. View Road   Rapid City SD  57702,SD,Yes,,,,,,,wait until sept.,Yes,,
Black Hills Homebrew Supply,,bhhomebrew@gmail.com,(605) 787-2210,"7955 Black Hawk Road #4, 
Blackhawk, South Dakota 57718",SD,Yes,,,,,,,,,,
Good Spirits Fine Wine & Liquor,http://www.gsfw.com/,beerguys@gsfw.com,605-339-1500,"3300 S Minnesota Ave, Sioux Falls, South Dakota 57105-6440",SD,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
FLORIDA,,,,,,,,,,,,,,,,
Time to Make Wine,www.timetomakewine.com,sandy@timetomakewine.com,239-542-9463,"10970 South Cleveland Ave,  Fort Myers, FL 33907",FL,Yes,,,,,,,,,,
Southern Brew & Wine making,http://www.southernbrewingwinemaking.com/,Sales@southernbrewingwinemaking.com,855-955-9463,"4500 North Nebraska Ave.
 Tampa, FL 33603.",FL,Yes,,,,,,,,,,
"Brewer Cellars, LLC",www.winemakingsuperstore.com,tim@brewercellars.com,407-327-8467,"116 West State Road 434. Winter Springs, FL 32708",FL,Yes,,,,,,,,,,
Just BREW It,www.justbrewitjax.com,ken@justbrewitjax.com,904-381-1983,"Shipping Address: 2670-1 Rosselle St. Jacksonville, Florida 32204",FL,Yes,,,,,,,,,,
Just BREW It,www.justbrewitjax.com,ken@justbrewitjax.com,(904) 435-4767,"1314 North 3rd st. Jacksonville Beach, FL 32250",FL,Yes,,,,,,,,,,
Hoggetowne Ale Works,www.hoggetowne.com,saturn_78@yahoo.com,(352) 367-4455,"3454 W University Ave, Gainesville, FL 32607",FL,Yes,,,,,,,,,,
Brock Homebrew,www.brockshomebrew.com,brock@brockshomebrew.com,321-473-3846,"245 East Drive 
 Unit 101, West Melbourne, FL 32904",FL,Yes,,,,,,,,,,
The HomeBrew Store,http://www.thehomebrewstore.net/,jimandmarla@thehomebrewstore.net,407-957-beer (2337),"1422 South Narcoossee Rd. St Cloud, FL 34771",FL,Yes,,,,,,,,,,
Hop Heads,http://www.hopheadsfwb.com/index.html,"info@hopheadsfwb.com
jim@hopheadsfwb.com",(850) 586-7626,"26C NW Racetrack Road
Fort Walton Beach, 
FL 32547",FL,Yes,,,,,,,,,,
BX Beer Depot,http://www.bxbeerdepot.com/,sales@bxbeerdepot.com - bxbeerdepot@gmail.com,561-965-9494,"2964 Second Avenue North
 Lake Worth, FL 33461",FL,Yes,,,,,,,,,,
Sanford Homebrew Shop Inc,http://sanfordhomebrewshop.com/,SanfordBrewer@gmail.com,407-732-6931,"111 S Magnolia Ave, Sanford, Florida 32771",FL,Yes,,,,,,,,,,
Daddy Brews,http://daddybrews.com/,daddybrews@gmail.com,786-382-5161,"4427 SW 74th Ave,  Miami FL  33155",FL,Yes,,,,,,,,,,
Miami Beer and Winemakers warehouse,http://www.miamibeerandwine.com/,admin@miamibeerandwine.com,305-817-1711,"9500 NW 79 Ave #8, Hialeah Gardens, Florida 33016",FL,Yes,,,,,,,,,,
LongNeck Brew House,http://www.longneckbrewhouse.com/,info@longneckbrewhouse.com,772-210-2296,"950 SE Indian Street, Stuart, Florida 34997",FL,Yes,,,,,,,,,,
CRAFT A BREW,,CRAFTABREW@GMAIL.COM,813-810-5953,"111 WEST PINELOCH AVE,  ORLANDO FL  32806",FL,Yes,,,,,,,,,,
Bootlegger's Wine,www.bootleggerswine.com,bootleggerswine@verizon.net,1 813-643-9463,"650 Oakfield Dr  Brandon, FL 33511",FL,Yes,,,,,,,,,,
16,,,,,,,,,,,,,,,,
VIRGINIA,,,,,,,,,,,,,,,,
Wine and Cake HobbiesÂ ,www.wineandcake.com,chris@wineandcake.com,757-857-0245,6527 Tidewater Dr.Â ,VA,Yes,,No,,,,August 28th,No answer,Yes,,
HomeBrew USA,http://www.homebrewusa.com/,erschens@gmail.com,757-318-7600,"Â Â 5802 E. Virginia Beach Blvd Unit 115, Norfolk, Virginia 23502",VA,Yes,,No,,,,August 28th,Did not connect,Yes,,
Eats Natural Foods Co-op,www.eatsnaturalfoods.com,eatsnatural@gmail.com,540-552-2279,"Eats Natural Foods
708A North Main St
Blacksburg, VA 24060",VA,Yes,,"No - don't do online site 
(thinking of doing a virtual store in the future)",,,10$ rack - tray 7$ grab what you want type deal,August 28th,"Spoke to stan, doing alright, sold a few",No Facebook page,,
Valley Homebrew,http://www.valleyhomebrew.com/,info@valleyhomebrew.com,540-868-7616,"199 Sulky Dr Ste 1, Winchester, Virginia 22602",VA,Yes,,,,,,,wait until Sept.,,,
My Local-Home-Brew-Shop,www.mylhbs.com,info@mylhbs.com,(703) 241-3874,6201 Leesburg Pike #3  Falls Church  VA  22044,VA,Yes,,,,,,,,,,
The Natural Path Shop,http://thebrewshop.biz/,brewsupply@yahoo.com,540-891-6200,"4413 Lafayette blvd, Fredericksburg, Virginia 22408",VA,,,,,,,,,,,
The WeekEnd Brewer-Home Brew Supply,www.weekendbrewer.com,bob@weekendbrewer.com,"804-796-9760, 1-800-320-1456","4205 West Hundred Rd. Chester, VA 23281",VA,Yes,,,,,,,,,,
Stone's Throw at Slight Indulgence,www.sightindulgence.com,slightindulgencewv@gmail.com,304-292-3401,407 High St.,VA,,,,,,,,,,,
Original Gravity Homebrew Supply,http://www.oggravity.com/,tony@oggravity.com,804-264-4808,"Â Â 6920 Lakeside Ave Ste D, Richmond, Virginia 23228",VA,,,,,,,,,,,
Roxbury Farm & Garden Center,www.roxburyfarmgarden.com,roxburyandy@gmail.com,540-373-9124,601 Lafayette Blvd.,VA,,,,,,,,,,,
QUAKER RUN VINEYARDS,,,540-923-4123,1654 QUAKER RUN ROAD  MADISON VA 22727,VA,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,,,,,
All Seasons Gardening & Brewing Supply,www.allseasonsnashville.com,support@allseasonsnashville.com,800-790-2188 - 615-214-5465,"924 8th Ave. South 
Nashville, TN  37203",TN,Yes,,http://www.allseasonsnashville.com/Beer_Wine/Beer_Accessories/racking_bottling.htm,,No,Yes,6/5/13,August 28th - busy signal,No facebook Page,Old Photos (own section),
Bootlegger's Wine,www.bootleggerswine.com,bootleggerswine@verizon.net,1 813-643-9463,"650 Oakfield Dr  Brandon, FL 33511",TN,Yes,,No,,No,1 rack at 14$,6/5/13,August 28th - haven't sold any really (call Darcy tomorrow to talk about it more),No facebook Page,,
Rebel Brewer,http://www.rebelbrewer.com/,info@rebelbrewer.com,615-859-2188,"Â Â 105 Space Park N, Goodlettsville, Tennessee 37072-1852",TN,Yes,,No,,,rack - 14.99 - tray - 9.99,,"August 28th - doing pretty well, they are selling. andrew@rebelbrewer.com",Yes,emailed photos,
Craft Brewed LLC,http://craftbrewednashville.com/,deviercw@gmail.com,615-663-5676,"2502 Franklin PK,  Nashville TN  37203",TN,Yes,,,,,,,,,,
Mid-South Malts Inc.,www.midsouthmalts.com,midsouthmalts@bellsouth.net,901-682-1293,"741 N White Station Rd  Memphis, TN 38122",TN,Yes,,,,,,,,,,
5,,,,,,,,,,,,,,,,
TEXAS,,,,,,,,,,,,,,,,
Austin Homebrew SupplyÂ ,www.austinhomebrew.com,info@austinhomebrew.com,512-300-2739,"9129 Metric Blvd.  Austin, TX 78758",TX,Yes,,http://www.austinhomebrew.com/product_info.php?products_id=13651,,No,Yes,6/5/13,August 28th - didnt ring,Yes,Old photos,
"Fine Vine Wines, LLC",www.finevinewines.com,geocorn@finevinewines.com,866-417-1114,"1500 North Interstate 35 east.
Carrollton, TX 75006",TX,Yes,,"This month we are goingto be ""toy of the month"" online and everyone gets 5$ off",set up properly,No,35,6/5/13,"August 28th - sold a few, doing pretty well",No Facebook Page,,
Stubby's Texas Brewing Inc.,www.texasbrewinginc.com,info@texasbrewinginc.com,(682) 647-1267,"5200 Airport Freeway. Haltom City, TX 76117",TX,Yes,,"launching new website shortly, will be on that",set up properly,No,25$ for one rack and tray,6/5/13,"August 28th - doing well, they are selling",No Facebook Page,,
Home Brew Party LLC,www.homebrewparty.com,info@homebrewparty.com,210-650-9070,"15150 Nacogdoches Rd.  
San Antonio, TX 78247",TX,Yes,,No,,No,,6/5/13,August 28th - line busy,Yes,,
Home Brew Party LLC,www.homebrewparty.com,info@homebrewparty.com,210-520-2282,"8407 Bandera Rd. 
San Antonio, TX 78250",TX,Yes,,No,set up properly,No,,6/5/13,"August 28th - has no idea what the product is, says to email the owner, he is out of state right now",Yes,,
Tyler's Brewing Supply,https://www.tylersbrewing.com/,tylersbrewingsupply@gmail.com,903-707-2176,"13893 State Hiway 155 South, Tyler, Texas 75703",TX,Yes,,https://www.tylersbrewing.com/catalogsearch/result/?q=The+FastRack,set up properly,,13.99 rack 8.99 tray,,"August 28th - selling well, not very talkative",Yes,,
Yellow House Canyon Brew,http://www.yhcbrewworks.com/,brewer@yhcbrewworks.com,806-744-1917,"601 North University Ave, Lubbock, Texas 79415",TX,Yes,,,set up properly,,17.99 rack - tray - 9.99,,"August 28th - every one who tries it loves it, way better than tree. doing well",Yes,emailed new photos,
Homebrew HeadquartersÂ ,www.homebrewhq.com,brewmaster@homebrewhq.com,972-234-4411,"300 N. Coit Rd., Suite 134 Richardson, TX 75080",TX,Yes,,,,,,,August 28th - no answer,Yes,,
Cork This!,http://www.corkthiswinery.com/,corkthis@corkthiswinery.com,832-465-7867,"21123 Eva St,  Montgomery TX  77356",TX,Yes,,,,,,,,,,
Barley and Hops,https://sites.google.com/site/barleyandhopsbrewing/,george.duncan76@gmail.com,254-518-4477,"2210 East HWY 190 ste 4,  Copperas Cove  TX  76522",TX,Yes,,,,,,,,,,
Amarillo Brewing Supply,http://www.amarillobrewingsupply.net/,amarillobrewingsupply@yahoo.com,970-946-6818,"4808 SE  28th Ave,  Amarillo TX  79103",TX,Yes,,,,,,,,,,
Foreman's / The Home Brewery (Texas)Â ,www.homebrewerysupply.com,"foremans@foremansinc.com, info@foremansinc.com",(817) 281-7252,"3801 Colleyville Blvd. Colleyville, TX 76034",TX,Yes,,,,,,,,,,
The Brew Shop,http://www.brewshoplatx.com/,brewguruTX@gmail.com,409-356-7891,"2410 Calder Ave. Beaumont, TX 76602
",TX,Yes,,,,,,,,,,
My Brewing Solutions,http://mybrewingsolutions.com/,mybrewingsolutions@gmail.com,903-576-1876,"2910 Gilmer Road, Longview, Texas 75604",TX,Yes,,,,,,,,,,
